Student ID,GENDER,YR_CDE,TRM_CDE,Dept,CourseID,Delivery,CRS_TITLE,ATH_TEAM_MEMBR,Grade,HRS_ATTEMPTED,HRS_EARNED,
CB1F4A18-7026-4301B-15D-2930BE73DCD8,M,1991,QS,C    ,330,EU,Interpersonal Communication ,N ,A,3,3,
CB1F4A18-7026-4301B-15D-2930BE73DCD8,M,1991,QS,CM   ,100,EU,Chapel ,N ,P,0,0,
CB1F4A18-7026-4301B-15D-2930BE73DCD8,M,1991,QS,CR   ,330,EU,Eastern Religions ,N ,A-,3,3,
CB1F4A18-7026-4301B-15D-2930BE73DCD8,M,1991,QS,GEOL ,306,EU,Volcanoes/Earthquake ,N ,P,3,3,
CB1F4A18-7026-4301B-15D-2930BE73DCD8,M,2000,QF,BUS  ,510,EU,Is:Management Theory And Practice ,N ,A,3,3,
CB1F4A18-7026-4301B-15D-2930BE73DCD8,M,2000,QF,BUS  ,520,EU,Group Dynamics In Organizations ,N ,A,3,3,
CB1F4A18-7026-4301B-15D-2930BE73DCD8,M,2000,QF,BUS  ,550,EU,Marketing Management ,N ,A,3,3,
CB1F4A18-7026-4301B-15D-2930BE73DCD8,M,2000,QS,BUS  ,530,EU,Management Information Systems ,N ,A-,3,3,
CB1F4A18-7026-4301B-15D-2930BE73DCD8,M,2000,QS,BUS  ,610,EU,Management Of Human Resources ,N ,A+,3,3,
CB1F4A18-7026-4301B-15D-2930BE73DCD8,M,2000,QS,EC   ,570,EU,Managerial Economics ,N ,A+,3,3,
CB1F4A18-7026-4301B-15D-2930BE73DCD8,M,2000,QW,BUS  ,540,EU,Quantitative Methods ,N ,A+,3,3,
CB1F4A18-7026-4301B-15D-2930BE73DCD8,M,2000,QW,BUS  ,590,EU,Christian Ethics In Business ,N ,A,3,3,
CB1F4A18-7026-4301B-15D-2930BE73DCD8,M,2000,QW,C    ,580,EU,Communication In Organizations ,N ,A,3,3,
CB1F4A18-7026-4301B-15D-2930BE73DCD8,M,2001,QF,ACTG ,545,EU,Managerial Accounting ,N ,A,3,3,
CB1F4A18-7026-4301B-15D-2930BE73DCD8,M,2001,QF,BUS  ,630,EU,Operations and Service Management ,N ,A,3,3,
CB1F4A18-7026-4301B-15D-2930BE73DCD8,M,2001,QF,BUS  ,640,EU,Christian Leadership and Service ,N ,A,3,3,
CB1F4A18-7026-4301B-15D-2930BE73DCD8,M,2001,QS,BUS  ,650,EU,Strategic Management ,N ,A,3,3,
CB1F4A18-7026-4301B-15D-2930BE73DCD8,M,2001,QS,BUS  ,661,EU,Project/Thesis ,N ,P,3,3,
CB1F4A18-7026-4301B-15D-2930BE73DCD8,M,2001,QS,BUS  ,662,EU,Project/Thesis ,N ,P,3,3,
CB1F4A18-7026-4301B-15D-2930BE73DCD8,M,2001,QW,BUS  ,560,EU,Financial Management ,N ,A,3,3,
