ID,ENTRY_DTE,EXIT_DTE,EXIT_REASON,DEGREE_DESC,MAJOR_MINOR_DESC,career_gpa
5C421A06-292C-4330-B780-0013C12A4A4E,7/27/2016,5/6/2017,,Bachelor of Arts,Music: Music Industry,3.96
9B431675-BF58-4747-83FD-00171C524524,1/10/2018,5/10/2019,,Bachelor of Science,Teacher Education: Elementary,2.56
1809C654-7DA9-4820-8250-00236C811C6E,,5/5/2006,Graduated,Bachelor of Arts,Management,4
AAC19983-D349-48F7-92F8-0037BF9F305C,5/17/2016,5/7/2016,Graduated,Bachelor of Arts,Interdisciplinary Studies,3.68
AA1A2779-6A7F-43AB-8B60-0058A8B9782A,12/22/2016,6/29/2018,Graduated,Master of Arts,Clinical Mental Health Counseling,4
7245A06D-DC2F-4B01-B0BE-005F3E55622F,7/27/2016,5/9/2020,Graduated,Bachelor of Arts,Communication,3.32
0662E399-637C-4F85-90C8-0076E3E6FF2A,8/19/2011,5/5/2012,Graduated,Bachelor of Arts,Business Administration,3.33
60C9E08E-E8D3-47EF-8387-00851542BDC0,8/19/2011,5/10/2014,Graduated,Bachelor of Arts,Teacher Education,3.53
94F633F0-C527-498E-B7EE-00A3FBA46D4E,11/3/2011,8/26/2011,,Bachelor of Arts,Accounting,3.91
94F633F0-C527-498E-B7EE-00A3FBA46D4E,,8/26/2011,,Bachelor of Arts,Accounting,3.91
0ED1531C-0693-43BD-8C1D-00A8B24E200A,,12/12/2008,Graduated,Bachelor of Arts,Management,3.92
70AA3FFE-6E73-4C82-A32D-00B4116462DC,,7/16/2004,Graduated,Master of Arts,MA: School Counselor & Consultant,3.96
7A23F7FB-3335-42D1-A4D4-00E8636594B4,9/21/2015,12/16/2016,Graduated,Bachelor of Science,Nursing,3.97
76563F22-196E-4824-AFFC-00F2EDDA3C06,,6/12/1998,Graduated,Bachelor of Arts,Management,3.53
50530DFD-C4B6-42A0-8B57-00FC5F4A7060,8/3/2012,5/10/2013,,Bachelor of Arts,Psychology,3.64
6F3148EB-0F61-4668-9AB1-0123B329796B,,8/26/2011,,Bachelor of Arts,Interdisciplinary Studies,3.57
CABCCC20-BEED-440A-9940-0126F2F693A8,8/14/2013,5/9/2015,Graduated,Master of Arts,MA: School Counselor & Consultant,3.88
3C8AE97D-C583-4A76-AE52-013E0F4E3B49,,6/14/1996,Graduated,Bachelor of Science,Bible & Christian Ministry Studies,3.33
