gender,trm_code,department,delivery,course_title,ath_team_member,grade,hours_attempted,hours_earned,career_gpa,sum,average_creditsper_year,course_count
1,1,14,0,74,1,15,0,0,2.87,160,40,72
1,1,14,0,525,1,13,0,0,2.87,160,40,72
1,1,16,0,184,1,5,1,1,2.87,160,40,72
1,1,27,0,37,1,7,3,3,2.87,160,40,72
1,1,50,0,413,1,4,3,3,2.87,160,40,72
1,1,55,0,136,1,4,3,3,2.87,160,40,72
1,1,64,0,144,1,4,3,3,2.87,160,40,72
1,2,13,0,384,1,2,3,3,2.87,160,40,72
1,2,14,0,74,1,15,0,0,2.87,160,40,72
1,2,30,0,417,1,8,4,4,2.87,160,40,72
1,2,32,0,577,1,10,3,3,2.87,160,40,72
1,2,33,0,224,1,7,3,3,2.87,160,40,72
1,2,39,0,300,1,4,3,3,2.87,160,40,72
1,2,53,0,42,1,1,1,1,2.87,160,40,72
1,4,14,0,74,1,13,0,0,2.87,160,40,72
1,4,42,0,88,1,4,1,1,2.87,160,40,72
1,4,53,0,42,1,1,1,1,2.87,160,40,72
1,4,55,0,152,1,4,3,3,2.87,160,40,72
1,4,58,0,607,1,5,3,3,2.87,160,40,72
1,4,64,3,144,1,8,3,3,2.87,160,40,72
1,1,9,0,64,1,5,3,3,2.87,160,40,72
1,1,9,0,468,1,9,3,3,2.87,160,40,72
1,1,14,0,74,1,15,0,0,2.87,160,40,72
1,1,33,0,231,1,15,3,3,2.87,160,40,72
1,1,39,0,301,1,6,3,3,2.87,160,40,72
1,4,10,0,281,1,0,3,3,2.87,160,40,72
1,4,14,0,74,1,13,0,0,2.87,160,40,72
1,4,33,0,231,1,15,3,3,2.87,160,40,72
1,4,43,0,478,1,5,1,1,2.87,160,40,72
1,4,50,3,335,1,8,3,3,2.87,160,40,72
1,4,52,0,439,1,7,3,3,2.87,160,40,72
1,1,0,0,458,1,0,3,3,2.87,160,40,72
1,1,7,0,591,1,12,3,3,2.87,160,40,72
1,1,9,0,372,1,8,3,3,2.87,160,40,72
