GENDER,TRM_CDE,Dept,Delivery,ATH_TEAM_MEMBR,Grade,HRS_ATTEMPTED,HRS_EARNED,career_gpa,sum,Average_CreditsperYear,count
1,1,14,0,1,15,0,0.0,2.87,160.0,40.0,72
1,1,14,0,1,13,0,0.0,2.87,160.0,40.0,72
1,1,16,0,1,5,1,1.0,2.87,160.0,40.0,72
1,1,27,0,1,7,3,3.0,2.87,160.0,40.0,72
1,1,50,0,1,4,3,3.0,2.87,160.0,40.0,72
1,1,55,0,1,4,3,3.0,2.87,160.0,40.0,72
1,1,64,0,1,4,3,3.0,2.87,160.0,40.0,72
1,2,13,0,1,2,3,3.0,2.87,160.0,40.0,72
1,2,14,0,1,15,0,0.0,2.87,160.0,40.0,72
1,2,30,0,1,8,4,4.0,2.87,160.0,40.0,72
1,2,32,0,1,10,3,3.0,2.87,160.0,40.0,72
1,2,33,0,1,7,3,3.0,2.87,160.0,40.0,72
1,2,39,0,1,4,3,3.0,2.87,160.0,40.0,72
1,2,53,0,1,1,1,1.0,2.87,160.0,40.0,72
1,4,14,0,1,13,0,0.0,2.87,160.0,40.0,72
1,4,42,0,1,4,1,1.0,2.87,160.0,40.0,72
1,4,53,0,1,1,1,1.0,2.87,160.0,40.0,72
1,4,55,0,1,4,3,3.0,2.87,160.0,40.0,72
1,4,58,0,1,5,3,3.0,2.87,160.0,40.0,72
1,4,64,3,1,8,3,3.0,2.87,160.0,40.0,72
1,1,9,0,1,5,3,3.0,2.87,160.0,40.0,72
1,1,9,0,1,9,3,3.0,2.87,160.0,40.0,72
1,1,14,0,1,15,0,0.0,2.87,160.0,40.0,72
1,1,33,0,1,15,3,3.0,2.87,160.0,40.0,72
1,1,39,0,1,6,3,3.0,2.87,160.0,40.0,72
1,4,10,0,1,0,3,3.0,2.87,160.0,40.0,72
1,4,14,0,1,13,0,0.0,2.87,160.0,40.0,72
1,4,33,0,1,15,3,3.0,2.87,160.0,40.0,72
1,4,43,0,1,5,1,1.0,2.87,160.0,40.0,72
1,4,50,3,1,8,3,3.0,2.87,160.0,40.0,72
1,4,52,0,1,7,3,3.0,2.87,160.0,40.0,72
1,1,0,0,1,0,3,3.0,2.87,160.0,40.0,72
1,1,7,0,1,12,3,3.0,2.87,160.0,40.0,72
1,1,9,0,1,8,3,3.0,2.87,160.0,40.0,72
1,1,10,0,1,4,3,3.0,2.87,160.0,40.0,72
1,1,14,0,1,15,0,0.0,2.87,160.0,40.0,72
1,1,18,0,1,7,3,3.0,2.87,160.0,40.0,72
1,1,43,2,1,0,1,1.0,2.87,160.0,40.0,72
1,2,9,0,1,2,3,3.0,2.87,160.0,40.0,72
1,2,9,0,1,6,3,3.0,2.87,160.0,40.0,72
1,2,9,0,1,4,3,3.0,2.87,160.0,40.0,72
1,2,14,0,1,15,0,0.0,2.87,160.0,40.0,72
1,2,18,0,1,4,3,3.0,2.87,160.0,40.0,72
1,4,0,0,1,4,3,3.0,2.87,160.0,40.0,72
1,4,7,0,1,7,3,3.0,2.87,160.0,40.0,72
1,4,7,3,1,10,3,3.0,2.87,160.0,40.0,72
1,4,10,0,1,8,3,3.0,2.87,160.0,40.0,72
1,4,14,0,1,15,0,0.0,2.87,160.0,40.0,72
1,4,22,0,1,7,3,3.0,2.87,160.0,40.0,72
1,4,59,0,1,8,3,3.0,2.87,160.0,40.0,72
1,0,9,0,1,4,3,3.0,2.87,160.0,40.0,72
