GENDER,TRM_CDE,Dept,Delivery,ATH_TEAM_MEMBR,Grade,HRS_ATTEMPTED,HRS_EARNED,career_gpa,sum,Average_CreditsperYear,count
M,QF,CM   ,EU,N ,P,0,0.0,2.87,160.0,40.0,72
M,QF,CM   ,EU,N ,N,0,0.0,2.87,160.0,40.0,72
M,QF,CS   ,EU,N ,B+,1,1.0,2.87,160.0,40.0,72
M,QF,FA   ,EU,N ,C,3,3.0,2.87,160.0,40.0,72
M,QF,NT   ,EU,N ,B,3,3.0,2.87,160.0,40.0,72
M,QF,PHL  ,EU,N ,B,3,3.0,2.87,160.0,40.0,72
M,QF,WR   ,EU,N ,B,3,3.0,2.87,160.0,40.0,72
M,QS,CIS  ,EU,N ,A-,3,3.0,2.87,160.0,40.0,72
M,QS,CM   ,EU,N ,P,0,0.0,2.87,160.0,40.0,72
M,QS,GEOL ,EU,N ,C+,4,4.0,2.87,160.0,40.0,72
M,QS,GS   ,EU,N ,D,3,3.0,2.87,160.0,40.0,72
M,QS,H    ,EU,N ,C,3,3.0,2.87,160.0,40.0,72
M,QS,MATH ,EU,N ,B,3,3.0,2.87,160.0,40.0,72
M,QS,PE   ,EU,N ,A+,1,1.0,2.87,160.0,40.0,72
M,QW,CM   ,EU,N ,N,0,0.0,2.87,160.0,40.0,72
M,QW,MCP  ,EU,N ,B,1,1.0,2.87,160.0,40.0,72
M,QW,PE   ,EU,N ,A+,1,1.0,2.87,160.0,40.0,72
M,QW,PHL  ,EU,N ,B,3,3.0,2.87,160.0,40.0,72
M,QW,PS   ,EU,N ,B+,3,3.0,2.87,160.0,40.0,72
M,QW,WR   ,OL,N ,C+,3,3.0,2.87,160.0,40.0,72
M,QF,BUS  ,EU,N ,B+,3,3.0,2.87,160.0,40.0,72
M,QF,BUS  ,EU,N ,C-,3,3.0,2.87,160.0,40.0,72
M,QF,CM   ,EU,N ,P,0,0.0,2.87,160.0,40.0,72
M,QF,H    ,EU,N ,P,3,3.0,2.87,160.0,40.0,72
M,QF,MATH ,EU,N ,B-,3,3.0,2.87,160.0,40.0,72
M,QW,C    ,EU,N ,A,3,3.0,2.87,160.0,40.0,72
M,QW,CM   ,EU,N ,N,0,0.0,2.87,160.0,40.0,72
M,QW,H    ,EU,N ,P,3,3.0,2.87,160.0,40.0,72
M,QW,MG   ,EU,N ,B+,1,1.0,2.87,160.0,40.0,72
M,QW,NT   ,OL,N ,C+,3,3.0,2.87,160.0,40.0,72
M,QW,OT   ,EU,N ,C,3,3.0,2.87,160.0,40.0,72
M,QF,ACTG ,EU,N ,A,3,3.0,2.87,160.0,40.0,72
M,QF,BTH  ,EU,N ,F,3,3.0,2.87,160.0,40.0,72
M,QF,BUS  ,EU,N ,C+,3,3.0,2.87,160.0,40.0,72
M,QF,C    ,EU,N ,B,3,3.0,2.87,160.0,40.0,72
M,QF,CM   ,EU,N ,P,0,0.0,2.87,160.0,40.0,72
M,QF,EC   ,EU,N ,C,3,3.0,2.87,160.0,40.0,72
M,QF,MG   ,IS,N ,A,1,1.0,2.87,160.0,40.0,72
M,QS,BUS  ,EU,N ,A-,3,3.0,2.87,160.0,40.0,72
M,QS,BUS  ,EU,N ,B-,3,3.0,2.87,160.0,40.0,72
M,QS,BUS  ,EU,N ,B,3,3.0,2.87,160.0,40.0,72
M,QS,CM   ,EU,N ,P,0,0.0,2.87,160.0,40.0,72
M,QS,EC   ,EU,N ,B,3,3.0,2.87,160.0,40.0,72
M,QW,ACTG ,EU,N ,B,3,3.0,2.87,160.0,40.0,72
M,QW,BTH  ,EU,N ,C,3,3.0,2.87,160.0,40.0,72
M,QW,BTH  ,OL,N ,D,3,3.0,2.87,160.0,40.0,72
M,QW,C    ,EU,N ,C+,3,3.0,2.87,160.0,40.0,72
M,QW,CM   ,EU,N ,P,0,0.0,2.87,160.0,40.0,72
M,QW,EN   ,EU,N ,C,3,3.0,2.87,160.0,40.0,72
M,QW,PSY  ,EU,N ,C+,3,3.0,2.87,160.0,40.0,72
M,FA,BUS  ,EU,N ,B,3,3.0,2.87,160.0,40.0,72
M,FA,BUS  ,EU,N ,B+,3,3.0,2.87,160.0,40.0,72
M,FA,CM   ,EU,N ,P,0,0.0,2.87,160.0,40.0,72
M,FA,CM   ,EU,N ,P,0,0.0,2.87,160.0,40.0,72
M,FA,MATH ,EU,N ,C+,3,3.0,2.87,160.0,40.0,72
M,FA,SOC  ,EU,N ,B+,3,3.0,2.87,160.0,40.0,72
M,SP,BUS  ,EU,N ,A,3,3.0,2.87,160.0,40.0,72
M,SP,BUS  ,EU,N ,A,3,3.0,2.87,160.0,40.0,72
M,SP,BUS  ,EU,N ,B,3,3.0,2.87,160.0,40.0,72
M,SP,CM   ,EU,N ,P,0,0.0,2.87,160.0,40.0,72
M,SP,COMM ,EU,N ,A-,3,3.0,2.87,160.0,40.0,72
M,FA,BTH  ,EU,N ,B,3,3.0,2.87,160.0,40.0,72
M,FA,BUS  ,EU,N ,B,3,3.0,2.87,160.0,40.0,72
M,FA,BUS  ,EU,N ,B,3,3.0,2.87,160.0,40.0,72
M,FA,BUS  ,EU,N ,P,3,3.0,2.87,160.0,40.0,72
M,FA,CM   ,EU,N ,N,0,0.0,2.87,160.0,40.0,72
M,SP,BUS  ,EU,N ,A,3,3.0,2.87,160.0,40.0,72
M,SP,BUS  ,EU,N ,P,3,3.0,2.87,160.0,40.0,72
M,SP,BUS  ,EU,N ,A,3,3.0,2.87,160.0,40.0,72
M,SP,MIS  ,EU,N ,A-,3,3.0,2.87,160.0,40.0,72
F,QF,C    ,EU,N ,A,3,3.0,3.69,172.0,43.0,77
F,QF,CM   ,EU,N ,P,0,0.0,3.69,172.0,43.0,77
F,QF,CS   ,EU,N ,A,1,1.0,3.69,172.0,43.0,77
F,QF,PHL  ,EU,N ,A-,3,3.0,3.69,172.0,43.0,77
F,QF,PSY  ,EU,N ,A+,3,3.0,3.69,172.0,43.0,77
F,QF,WR   ,EU,N ,A-,3,3.0,3.69,172.0,43.0,77
F,QS,CIS  ,EU,N ,A+,3,3.0,3.69,172.0,43.0,77
F,QS,CM   ,EU,N ,P,0,0.0,3.69,172.0,43.0,77
F,QS,FA   ,EU,N ,A-,3,3.0,3.69,172.0,43.0,77
F,QS,MATH ,EU,N ,A,3,3.0,3.69,172.0,43.0,77
F,QS,MCP  ,EU,N ,A,1,1.0,3.69,172.0,43.0,77
F,QS,OT   ,OL,N ,A,3,3.0,3.69,172.0,43.0,77
F,QS,PSY  ,EU,N ,A,2,2.0,3.69,172.0,43.0,77
F,QS,PSY  ,EU,N ,B,1,1.0,3.69,172.0,43.0,77
F,QW,BUS  ,EU,N ,A,3,3.0,3.69,172.0,43.0,77
F,QW,CM   ,EU,N ,P,0,0.0,3.69,172.0,43.0,77
F,QW,MATH ,EU,N ,A,3,3.0,3.69,172.0,43.0,77
F,QW,NT   ,EU,N ,A-,3,3.0,3.69,172.0,43.0,77
F,QW,SOC  ,EU,N ,A,3,3.0,3.69,172.0,43.0,77
F,QW,WR   ,OL,N ,B+,3,3.0,3.69,172.0,43.0,77
F,QF,BUS  ,EU,N ,B+,3,3.0,3.69,172.0,43.0,77
F,QF,BUS  ,EU,N ,B,3,3.0,3.69,172.0,43.0,77
F,QF,CM   ,EU,N ,P,0,0.0,3.69,172.0,43.0,77
F,QF,EC   ,EU,N ,A,3,3.0,3.69,172.0,43.0,77
F,QF,H    ,EU,N ,A,3,3.0,3.69,172.0,43.0,77
F,QF,NT   ,EU,N ,A-,3,3.0,3.69,172.0,43.0,77
F,QS,ANTH ,EU,N ,B,3,3.0,3.69,172.0,43.0,77
F,QS,C    ,OL,N ,B-,3,3.0,3.69,172.0,43.0,77
F,QS,CM   ,EU,N ,P,0,0.0,3.69,172.0,43.0,77
F,QS,CM   ,EU,N ,N,0,0.0,3.69,172.0,43.0,77
F,QS,GEOL ,EU,N ,B,4,4.0,3.69,172.0,43.0,77
F,QS,NT   ,EU,N ,B+,3,3.0,3.69,172.0,43.0,77
F,QS,OT   ,EU,N ,A-,3,3.0,3.69,172.0,43.0,77
F,QW,CM   ,EU,N ,P,0,0.0,3.69,172.0,43.0,77
F,QW,CM   ,EU,N ,P,0,0.0,3.69,172.0,43.0,77
F,QW,EN   ,EU,N ,A+,3,3.0,3.69,172.0,43.0,77
F,QW,H    ,EU,N ,A-,3,3.0,3.69,172.0,43.0,77
F,QW,NT   ,EU,N ,A-,3,3.0,3.69,172.0,43.0,77
F,QW,PHL  ,EU,N ,A,3,3.0,3.69,172.0,43.0,77
F,QW,PS   ,EU,N ,A+,3,3.0,3.69,172.0,43.0,77
F,QF,ACTG ,EU,N ,A-,3,3.0,3.69,172.0,43.0,77
F,QF,BTH  ,EU,N ,A-,3,3.0,3.69,172.0,43.0,77
F,QF,BTH  ,EU,N ,A-,3,3.0,3.69,172.0,43.0,77
F,QF,BUS  ,EU,N ,A-,3,3.0,3.69,172.0,43.0,77
F,QF,C    ,EU,N ,A,3,3.0,3.69,172.0,43.0,77
F,QF,CM   ,EU,N ,P,0,0.0,3.69,172.0,43.0,77
F,QF,CM   ,EU,N ,P,0,0.0,3.69,172.0,43.0,77
F,QS,BTH  ,EU,N ,A-,3,3.0,3.69,172.0,43.0,77
F,QS,BUS  ,EU,N ,B,3,3.0,3.69,172.0,43.0,77
F,QS,BUS  ,EU,N ,P,3,3.0,3.69,172.0,43.0,77
F,QS,CM   ,EU,N ,P,0,0.0,3.69,172.0,43.0,77
F,QS,EC   ,EU,N ,B,3,3.0,3.69,172.0,43.0,77
F,QS,GS   ,EU,N ,A-,3,3.0,3.69,172.0,43.0,77
F,QS,H    ,EU,N ,B,3,3.0,3.69,172.0,43.0,77
F,QW,ACTG ,EU,N ,A,3,3.0,3.69,172.0,43.0,77
F,QW,BTH  ,EU,N ,B,3,3.0,3.69,172.0,43.0,77
F,QW,BTH  ,EU,N ,B+,3,3.0,3.69,172.0,43.0,77
F,QW,BTH  ,EU,N ,B+,3,3.0,3.69,172.0,43.0,77
F,QW,BUS  ,EU,N ,A,3,3.0,3.69,172.0,43.0,77
F,QW,BUS  ,EU,N ,P,2,2.0,3.69,172.0,43.0,77
F,QW,CM   ,EU,N ,P,0,0.0,3.69,172.0,43.0,77
F,FA,ACTG ,EU,N ,A-,3,3.0,3.69,172.0,43.0,77
F,FA,ACTG ,EU,N ,A,3,3.0,3.69,172.0,43.0,77
F,FA,ACTG ,EU,N ,A,3,3.0,3.69,172.0,43.0,77
F,FA,BTH  ,EU,N ,B,3,3.0,3.69,172.0,43.0,77
F,FA,BUS  ,EU,N ,P,3,3.0,3.69,172.0,43.0,77
