ID,GENDER,YR_CDE,TRM_CDE,Dept,CourseID,Delivery,CRS_TITLE,ATH_TEAM_MEMBR,Grade,HRS_ATTEMPTED,HRS_EARNED,Unnamed: 12,ENTRY_DTE,EXIT_DTE,EXIT_REASON,DEGREE_DESC,MAJOR_MINOR_DESC,career_gpa
A2978426-4DDD-4238-9171-F7709D3599CA,M,2001,QF,CM   ,100,EU,Chapel ,N ,P,0,0.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2001,QF,CM   ,105,EU,Service Learning ,N ,N,0,0.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2001,QF,CS   ,101,EU,Freshman Seminar ,N ,B+,1,1.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2001,QF,FA   ,121,EU,Art Appreciation ,N ,C,3,3.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2001,QF,NT   ,115,EU,Nt Themes And Personalities ,N ,B,3,3.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2001,QF,PHL  ,201,EU,Elementary Logic ,N ,B,3,3.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2001,QF,WR   ,121,EU,English Composition ,N ,B,3,3.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2001,QS,CIS  ,121,EU,Micro Computer Applications ,N ,A-,3,3.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2001,QS,CM   ,100,EU,Chapel ,N ,P,0,0.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2001,QS,GEOL ,307,EU,Oceanography (Lab) ,N ,C+,4,4.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2001,QS,GS   ,140,EU,Survey Of The Sciences ,N ,D,3,3.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2001,QS,H    ,335,EU,History Of Christianity In America ,N ,C,3,3.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2001,QS,MATH ,105,EU,Introduction To Contemporary Math I ,N ,B,3,3.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2001,QS,PE   ,103,EU,Basketball ,N ,A+,1,1.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2001,QW,CM   ,100,EU,Chapel ,N ,N,0,0.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2001,QW,MATH ,90,EU,Intermediate Algebra ,N ,,4,0.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2001,QW,MCP  ,101,EU,Class Piano I ,N ,B,1,1.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2001,QW,PE   ,102,EU,Basketball ,N ,A+,1,1.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2001,QW,PHL  ,205,EU,Ethics ,N ,B,3,3.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2001,QW,PS   ,201,EU,U.S. Government ,N ,B+,3,3.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2001,QW,WR   ,122,OL,English Composition ,N ,C+,3,3.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2002,QF,BUS  ,101,EU,Business Principles And Practices ,N ,B+,3,3.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2002,QF,BUS  ,333,EU,Principles Of Management ,N ,C-,3,3.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2002,QF,CM   ,100,EU,Chapel ,N ,P,0,0.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2002,QF,H    ,105,EU,History Of Western Civilization ,N ,P,3,3.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2002,QF,MATH ,106,EU,Introduction To Contemporary Math II,N ,B-,3,3.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2002,QW,C    ,112,EU,Interpretive Speech II (Lab) ,N ,A,3,3.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2002,QW,CM   ,100,EU,Chapel ,N ,N,0,0.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2002,QW,H    ,106,EU,History Of Western Civilization ,N ,P,3,3.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
A2978426-4DDD-4238-9171-F7709D3599CA,M,2002,QW,MG   ,172,EU,Private Guitar ,N ,B+,1,1.0,,,5/5/2006,Graduated,Bachelor of Arts,Business Administration,2.87
